2025-04-12 at 16:36:20 | INFO | Бот успешно запущен.
2025-04-12 at 16:36:20 | INFO | Бот успешно запущен.
2025-04-12 at 16:41:18 | INFO | Бот успешно запущен.
2025-04-12 at 16:41:18 | INFO | Бот успешно запущен.
2025-04-12 at 19:50:38 | INFO | Бот запущен...
2025-04-12 at 19:50:38 | INFO | Бот запущен...
2025-04-12 at 19:50:39 | INFO | Бот успешно запущен.
2025-04-12 at 19:50:39 | INFO | Бот успешно запущен.
2025-04-12 at 19:50:39 | INFO | Бот остановлен...
2025-04-12 at 19:50:39 | INFO | Бот остановлен...
2025-04-12 at 19:50:39 | ERROR | Бот остановлен!
2025-04-12 at 19:50:39 | ERROR | Бот остановлен!
2025-04-12 at 19:51:54 | INFO | Бот запущен...
2025-04-12 at 19:51:54 | INFO | Бот запущен...
2025-04-12 at 19:51:54 | INFO | Бот успешно запущен.
2025-04-12 at 19:51:54 | INFO | Бот успешно запущен.
2025-04-12 at 20:07:21 | INFO | Бот запущен...
2025-04-12 at 20:07:21 | INFO | Бот запущен...
2025-04-12 at 20:07:21 | INFO | Бот успешно запущен.
2025-04-12 at 20:07:21 | INFO | Бот успешно запущен.
2025-04-12 at 20:07:21 | ERROR | Ошибка при поиске записи с ID 1246132955: (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-04-12 at 20:07:21 | ERROR | Ошибка при поиске записи с ID 1246132955: (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-04-12 at 20:07:21 | ERROR | Ошибка при поиске записи с ID 1246132955: (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-04-12 at 20:07:21 | ERROR | Ошибка при поиске записи с ID 1246132955: (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-04-12 at 20:07:21 | ERROR | Ошибка при поиске записи с ID 1246132955: (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-04-12 at 20:07:21 | ERROR | Ошибка при поиске записи с ID 1246132955: (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-04-12 at 20:07:28 | ERROR | Ошибка при поиске записи с ID 1246132955: (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-04-12 at 20:07:28 | ERROR | Ошибка при поиске записи с ID 1246132955: (sqlite3.OperationalError) unable to open database file
(Background on this error at: https://sqlalche.me/e/20/e3q8)
2025-04-12 at 20:18:16 | INFO | Бот остановлен...
2025-04-12 at 20:18:16 | INFO | Бот остановлен...
2025-04-12 at 20:18:16 | ERROR | Бот остановлен!
2025-04-12 at 20:18:16 | ERROR | Бот остановлен!
2025-04-12 at 20:18:20 | INFO | Бот запущен...
2025-04-12 at 20:18:20 | INFO | Бот запущен...
2025-04-12 at 20:18:21 | INFO | Бот успешно запущен.
2025-04-12 at 20:18:21 | INFO | Бот успешно запущен.
2025-04-12 at 20:18:41 | INFO | Запись User с ID 1246132955 не найдена.
2025-04-12 at 20:18:41 | INFO | Запись User с ID 1246132955 не найдена.
2025-04-12 at 20:24:53 | INFO | Бот остановлен...
2025-04-12 at 20:24:53 | INFO | Бот остановлен...
2025-04-12 at 20:24:54 | ERROR | Бот остановлен!
2025-04-12 at 20:24:54 | ERROR | Бот остановлен!
2025-04-12 at 20:24:58 | INFO | Бот запущен...
2025-04-12 at 20:24:58 | INFO | Бот запущен...
2025-04-12 at 20:24:58 | INFO | Бот успешно запущен.
2025-04-12 at 20:24:58 | INFO | Бот успешно запущен.
2025-04-12 at 20:25:02 | INFO | Запись User с ID 1246132955 не найдена.
2025-04-12 at 20:25:02 | INFO | Запись User с ID 1246132955 не найдена.
2025-04-12 at 20:25:02 | INFO | пользователь None
2025-04-12 at 20:25:02 | INFO | пользователь None
2025-04-12 at 20:25:02 | INFO | Добавление пользователь id=1246132955 is_bot=False first_name='Твой' last_name='Друг' username='Dalinobek' language_code='ru' is_premium=None added_to_attachment_menu=None can_join_groups=None can_read_all_group_messages=None supports_inline_queries=None can_connect_to_business=None has_main_web_app=None
2025-04-12 at 20:25:02 | INFO | Добавление пользователь id=1246132955 is_bot=False first_name='Твой' last_name='Друг' username='Dalinobek' language_code='ru' is_premium=None added_to_attachment_menu=None can_join_groups=None can_read_all_group_messages=None supports_inline_queries=None can_connect_to_business=None has_main_web_app=None
2025-04-12 at 20:25:02 | INFO | пользователь проволидирован id=1246132955 is_bot=False first_name='Твой' last_name='Друг' username='Dalinobek' language_code='ru' is_premium=None added_to_attachment_menu=None can_join_groups=None can_read_all_group_messages=None supports_inline_queries=None can_connect_to_business=None has_main_web_app=None
2025-04-12 at 20:25:02 | INFO | пользователь проволидирован id=1246132955 is_bot=False first_name='Твой' last_name='Друг' username='Dalinobek' language_code='ru' is_premium=None added_to_attachment_menu=None can_join_groups=None can_read_all_group_messages=None supports_inline_queries=None can_connect_to_business=None has_main_web_app=None
2025-04-12 at 20:27:51 | INFO | Бот остановлен...
2025-04-12 at 20:27:51 | INFO | Бот остановлен...
2025-04-12 at 20:27:52 | ERROR | Бот остановлен!
2025-04-12 at 20:27:52 | ERROR | Бот остановлен!
2025-04-12 at 20:27:54 | INFO | Бот запущен...
2025-04-12 at 20:27:54 | INFO | Бот запущен...
2025-04-12 at 20:27:55 | INFO | Бот успешно запущен.
2025-04-12 at 20:27:55 | INFO | Бот успешно запущен.
2025-04-12 at 20:27:58 | INFO | Запись User с ID 1246132955 не найдена.
2025-04-12 at 20:27:58 | INFO | Запись User с ID 1246132955 не найдена.
2025-04-12 at 20:27:58 | INFO | пользователь None
2025-04-12 at 20:27:58 | INFO | пользователь None
2025-04-12 at 20:27:58 | INFO | Добавление пользователь Dalinobek
2025-04-12 at 20:27:58 | INFO | Добавление пользователь Dalinobek
2025-04-12 at 20:27:58 | INFO | пользователь проволидирован Dalinobek
2025-04-12 at 20:27:58 | INFO | пользователь проволидирован Dalinobek
2025-04-12 at 20:49:39 | INFO | Бот остановлен...
2025-04-12 at 20:49:39 | INFO | Бот остановлен...
2025-04-12 at 20:49:39 | ERROR | Бот остановлен!
2025-04-12 at 20:49:39 | ERROR | Бот остановлен!
2025-04-12 at 20:49:43 | INFO | Бот запущен...
2025-04-12 at 20:49:43 | INFO | Бот запущен...
2025-04-12 at 20:49:44 | INFO | Бот успешно запущен.
2025-04-12 at 20:49:44 | INFO | Бот успешно запущен.
2025-04-12 at 20:50:03 | INFO | Запись User с ID 1246132955 не найдена.
2025-04-12 at 20:50:03 | INFO | Запись User с ID 1246132955 не найдена.
2025-04-12 at 20:50:03 | INFO | пользователь None
2025-04-12 at 20:50:03 | INFO | пользователь None
2025-04-12 at 20:50:03 | INFO | Добавление пользователь Dalinobek
2025-04-12 at 20:50:03 | INFO | Добавление пользователь Dalinobek
2025-04-12 at 20:50:03 | INFO | пользователь проволидирован Dalinobek
2025-04-12 at 20:50:03 | INFO | пользователь проволидирован Dalinobek
2025-04-12 at 20:53:37 | INFO | Бот остановлен...
2025-04-12 at 20:53:37 | INFO | Бот остановлен...
2025-04-12 at 20:53:37 | ERROR | Бот остановлен!
2025-04-12 at 20:53:37 | ERROR | Бот остановлен!
2025-04-12 at 20:53:39 | INFO | Бот запущен...
2025-04-12 at 20:53:39 | INFO | Бот запущен...
2025-04-12 at 20:53:40 | INFO | Бот успешно запущен.
2025-04-12 at 20:53:40 | INFO | Бот успешно запущен.
2025-04-12 at 20:53:41 | INFO | Запись User с ID 1246132955 не найдена.
2025-04-12 at 20:53:41 | INFO | Запись User с ID 1246132955 не найдена.
2025-04-12 at 20:53:41 | INFO | пользователь None
2025-04-12 at 20:53:41 | INFO | пользователь None
2025-04-12 at 20:53:41 | INFO | Добавление пользователь Dalinobek
2025-04-12 at 20:53:41 | INFO | Добавление пользователь Dalinobek
2025-04-12 at 20:53:41 | INFO | пользователь проволидирован Dalinobek
2025-04-12 at 20:53:41 | INFO | пользователь проволидирован Dalinobek
2025-04-12 at 20:53:41 | INFO | user_data=SUser(id=1246132955, username='Dalinobek', first_name='Твой', last_name='Друг')
2025-04-12 at 20:53:41 | INFO | user_data=SUser(id=1246132955, username='Dalinobek', first_name='Твой', last_name='Друг')
2025-04-12 at 20:53:41 | INFO | user_data_dict={'id': 1246132955, 'username': 'Dalinobek', 'first_name': 'Твой', 'last_name': 'Друг'}
2025-04-12 at 20:53:41 | INFO | user_data_dict={'id': 1246132955, 'username': 'Dalinobek', 'first_name': 'Твой', 'last_name': 'Друг'}
2025-04-12 at 20:53:41 | INFO | new_user=<bot.dao.models.User object at 0x7fae88665220>
2025-04-12 at 20:53:41 | INFO | new_user=<bot.dao.models.User object at 0x7fae88665220>
2025-04-12 at 20:59:41 | INFO | Бот остановлен...
2025-04-12 at 20:59:41 | INFO | Бот остановлен...
2025-04-12 at 20:59:41 | ERROR | Бот остановлен!
2025-04-12 at 20:59:41 | ERROR | Бот остановлен!
2025-04-12 at 20:59:46 | INFO | Бот запущен...
2025-04-12 at 20:59:46 | INFO | Бот запущен...
2025-04-12 at 20:59:46 | INFO | Бот успешно запущен.
2025-04-12 at 20:59:46 | INFO | Бот успешно запущен.
2025-04-12 at 20:59:53 | INFO | Запись User с ID 1246132955 не найдена.
2025-04-12 at 20:59:53 | INFO | Запись User с ID 1246132955 не найдена.
2025-04-12 at 20:59:53 | INFO | пользователь None
2025-04-12 at 20:59:53 | INFO | пользователь None
2025-04-12 at 20:59:53 | INFO | Добавление пользователь Dalinobek
2025-04-12 at 20:59:53 | INFO | Добавление пользователь Dalinobek
2025-04-12 at 20:59:53 | INFO | пользователь проволидирован Dalinobek
2025-04-12 at 20:59:53 | INFO | пользователь проволидирован Dalinobek
2025-04-12 at 20:59:53 | INFO | user_data=SUser(id=1246132955, username='Dalinobek', first_name='Твой', last_name='Друг')
2025-04-12 at 20:59:53 | INFO | user_data=SUser(id=1246132955, username='Dalinobek', first_name='Твой', last_name='Друг')
2025-04-12 at 20:59:53 | INFO | user_data_dict={'id': 1246132955, 'username': 'Dalinobek', 'first_name': 'Твой', 'last_name': 'Друг'}
2025-04-12 at 20:59:53 | INFO | user_data_dict={'id': 1246132955, 'username': 'Dalinobek', 'first_name': 'Твой', 'last_name': 'Друг'}
2025-04-12 at 20:59:53 | INFO | new_user=<bot.dao.models.User object at 0x7f9ef2b8a240>
2025-04-12 at 20:59:53 | INFO | new_user=<bot.dao.models.User object at 0x7f9ef2b8a240>
2025-04-12 at 21:00:52 | INFO | Бот остановлен...
2025-04-12 at 21:00:52 | INFO | Бот остановлен...
2025-04-12 at 21:00:53 | ERROR | Бот остановлен!
2025-04-12 at 21:00:53 | ERROR | Бот остановлен!
2025-04-12 at 21:00:58 | INFO | Бот запущен...
2025-04-12 at 21:00:58 | INFO | Бот запущен...
2025-04-12 at 21:00:59 | INFO | Бот успешно запущен.
2025-04-12 at 21:00:59 | INFO | Бот успешно запущен.
2025-04-12 at 21:01:01 | INFO | user_data=SUser(id=1246132955, username='Dalinobek', first_name='Твой', last_name='Друг')
2025-04-12 at 21:01:01 | INFO | user_data=SUser(id=1246132955, username='Dalinobek', first_name='Твой', last_name='Друг')
2025-04-12 at 21:01:01 | INFO | user_data_dict={'id': 1246132955, 'username': 'Dalinobek', 'first_name': 'Твой', 'last_name': 'Друг'}
2025-04-12 at 21:01:01 | INFO | user_data_dict={'id': 1246132955, 'username': 'Dalinobek', 'first_name': 'Твой', 'last_name': 'Друг'}
2025-04-12 at 21:01:01 | INFO | new_user=<bot.dao.models.User object at 0x7f162de95670>
2025-04-12 at 21:01:01 | INFO | new_user=<bot.dao.models.User object at 0x7f162de95670>
2025-04-12 at 21:01:10 | INFO | Бот остановлен...
2025-04-12 at 21:01:10 | INFO | Бот остановлен...
2025-04-12 at 21:01:10 | ERROR | Бот остановлен!
2025-04-12 at 21:01:10 | ERROR | Бот остановлен!
2025-04-12 at 21:03:53 | INFO | Бот запущен...
2025-04-12 at 21:03:53 | INFO | Бот запущен...
2025-04-12 at 21:03:54 | INFO | Бот успешно запущен.
2025-04-12 at 21:03:54 | INFO | Бот успешно запущен.
2025-04-12 at 21:03:55 | INFO | Session: <sqlalchemy.ext.asyncio.session.AsyncSession object at 0x7f39c6ca3740>
2025-04-12 at 21:03:55 | INFO | Session: <sqlalchemy.ext.asyncio.session.AsyncSession object at 0x7f39c6ca3740>
2025-04-12 at 21:03:55 | INFO | Запись User с ID 1246132955 не найдена.
2025-04-12 at 21:03:55 | INFO | Запись User с ID 1246132955 не найдена.
2025-04-12 at 21:03:55 | INFO | Session: <sqlalchemy.ext.asyncio.session.AsyncSession object at 0x7f39c6ca3740>
2025-04-12 at 21:03:55 | INFO | Session: <sqlalchemy.ext.asyncio.session.AsyncSession object at 0x7f39c6ca3740>
2025-04-12 at 21:03:55 | INFO | user_data=SUser(id=1246132955, username='Dalinobek', first_name='Твой', last_name='Друг')
2025-04-12 at 21:03:55 | INFO | user_data=SUser(id=1246132955, username='Dalinobek', first_name='Твой', last_name='Друг')
2025-04-12 at 21:03:55 | INFO | user_data_dict={'id': 1246132955, 'username': 'Dalinobek', 'first_name': 'Твой', 'last_name': 'Друг'}
2025-04-12 at 21:03:55 | INFO | user_data_dict={'id': 1246132955, 'username': 'Dalinobek', 'first_name': 'Твой', 'last_name': 'Друг'}
2025-04-12 at 21:03:55 | INFO | new_user=<bot.dao.models.User object at 0x7f39c61eaa50>
2025-04-12 at 21:03:55 | INFO | new_user=<bot.dao.models.User object at 0x7f39c61eaa50>
2025-04-12 at 21:06:36 | INFO | Бот остановлен...
2025-04-12 at 21:06:36 | INFO | Бот остановлен...
2025-04-12 at 21:06:37 | ERROR | Бот остановлен!
2025-04-12 at 21:06:37 | ERROR | Бот остановлен!
2025-04-12 at 21:06:59 | INFO | Бот запущен...
2025-04-12 at 21:06:59 | INFO | Бот запущен...
2025-04-12 at 21:06:59 | INFO | Бот успешно запущен.
2025-04-12 at 21:06:59 | INFO | Бот успешно запущен.
2025-04-12 at 21:07:05 | INFO | Session: <sqlalchemy.ext.asyncio.session.AsyncSession object at 0x7f11a45b6ea0>
2025-04-12 at 21:07:05 | INFO | Session: <sqlalchemy.ext.asyncio.session.AsyncSession object at 0x7f11a45b6ea0>
2025-04-12 at 21:07:05 | INFO | Session: <sqlalchemy.ext.asyncio.session.AsyncSession object at 0x7f11a45b6ea0>
2025-04-12 at 21:07:05 | INFO | Session: <sqlalchemy.ext.asyncio.session.AsyncSession object at 0x7f11a45b6ea0>
2025-04-12 at 21:07:05 | INFO | Запись User с ID 1246132955 не найдена.
2025-04-12 at 21:07:05 | INFO | Запись User с ID 1246132955 не найдена.
2025-04-12 at 21:07:05 | INFO | Session: <sqlalchemy.ext.asyncio.session.AsyncSession object at 0x7f11a45b6ea0>
2025-04-12 at 21:07:05 | INFO | Session: <sqlalchemy.ext.asyncio.session.AsyncSession object at 0x7f11a45b6ea0>
2025-04-12 at 21:07:05 | INFO | Session: <sqlalchemy.ext.asyncio.session.AsyncSession object at 0x7f11a45b6ea0>
2025-04-12 at 21:07:05 | INFO | Session: <sqlalchemy.ext.asyncio.session.AsyncSession object at 0x7f11a45b6ea0>
2025-04-12 at 21:07:05 | INFO | user_data=SUser(id=1246132955, username='Dalinobek', first_name='Твой', last_name='Друг')
2025-04-12 at 21:07:05 | INFO | user_data=SUser(id=1246132955, username='Dalinobek', first_name='Твой', last_name='Друг')
2025-04-12 at 21:07:05 | INFO | user_data_dict={'id': 1246132955, 'username': 'Dalinobek', 'first_name': 'Твой', 'last_name': 'Друг'}
2025-04-12 at 21:07:05 | INFO | user_data_dict={'id': 1246132955, 'username': 'Dalinobek', 'first_name': 'Твой', 'last_name': 'Друг'}
2025-04-12 at 21:07:05 | INFO | new_user=<bot.dao.models.User object at 0x7f11a4959e20>
2025-04-12 at 21:07:05 | INFO | new_user=<bot.dao.models.User object at 0x7f11a4959e20>
2025-04-12 at 21:08:58 | INFO | Бот остановлен...
2025-04-12 at 21:08:58 | INFO | Бот остановлен...
2025-04-12 at 21:08:58 | ERROR | Бот остановлен!
2025-04-12 at 21:08:58 | ERROR | Бот остановлен!
2025-04-12 at 21:09:04 | INFO | Бот запущен...
2025-04-12 at 21:09:04 | INFO | Бот запущен...
2025-04-12 at 21:09:05 | INFO | Бот успешно запущен.
2025-04-12 at 21:09:05 | INFO | Бот успешно запущен.
2025-04-12 at 21:09:07 | INFO | Session_with_commit: <sqlalchemy.ext.asyncio.session.AsyncSession object at 0x7f64698bb890>
2025-04-12 at 21:09:07 | INFO | Session_with_commit: <sqlalchemy.ext.asyncio.session.AsyncSession object at 0x7f64698bb890>
2025-04-12 at 21:09:07 | INFO | Session: <sqlalchemy.ext.asyncio.session.AsyncSession object at 0x7f64698bb890>
2025-04-12 at 21:09:07 | INFO | Session: <sqlalchemy.ext.asyncio.session.AsyncSession object at 0x7f64698bb890>
2025-04-12 at 21:09:07 | INFO | Запись User с ID 1246132955 не найдена.
